tender_id,lot_id,bidder_id,bid_price,currency,document_path,submitted_at
TEND-2024-001,LOT-A-贴片机配件,V-005,18350.00,CNY,/bids/v005_tend001.pdf,2024-01-10 09:15:32
TEND-2024-001,LOT-A-贴片机配件,V-001,18380.00,CNY,/bids/v001_tend001.pdf,2024-01-10 10:22:18
TEND-2024-001,LOT-A-贴片机配件,V-002,18410.00,CNY,/bids/v002_tend001.pdf,2024-01-10 11:05:44
TEND-2024-001,LOT-A-贴片机配件,V-003,18450.00,CNY,/bids/v003_tend001.pdf,2024-01-10 13:48:09
TEND-2024-001,LOT-A-贴片机配件,V-007,19800.00,CNY,/bids/v007_tend001.pdf,2024-01-10 15:30:21
TEND-2024-001,LOT-A-贴片机配件,V-008,21500.00,CNY,/bids/v008_tend001.pdf,2024-01-10 16:12:55
TEND-2024-002,LOT-B-CNC外壳,V-001,17.50,CNY,/bids/v001_tend002.pdf,2024-01-08 09:00:11
TEND-2024-002,LOT-B-CNC外壳,V-004,17.65,CNY,/bids/v004_tend002.pdf,2024-01-08 10:30:22
TEND-2024-002,LOT-B-CNC外壳,V-009,17.80,CNY,/bids/v009_tend002.pdf,2024-01-08 11:45:33
TEND-2024-002,LOT-B-CNC外壳,V-010,20.50,CNY,/bids/v010_tend002.pdf,2024-01-08 14:20:44
